Ses05F_impro07_F013	 I know they have a really, really great program for what I want to do.	Ses05F-impro07-07-01-F013.wav	07
Ses01F_impro01_F001	 Yeah.	Ses01F-impro01-01-01-F001.wav	01
Ses05F_impro07_F014	 Can we for real live together?	Ses05F-impro07-07-01-F014.wav	07
Ses05F_impro07_F017	 okay.	Ses05F-impro07-07-01-F017.wav	07
Ses03F_impro07_M029	 Uh-oh.	Ses03F-impro07-07-01-M029.wav	07
Ses03F_impro07_M032	 Yeah.	Ses03F-impro07-07-01-M032.wav	07
Ses05F_impro07_F026	 oh yeah.	Ses05F-impro07-07-01-F026.wav	07
Ses01F_impro02_M012	 Don't you guys have access to computers over there.	Ses01F-impro02-01-01-M012.wav	01
Ses03F_impro08_F008	 But I'm going to definitely have to- uh--get your contact information	Ses03F-impro08-01-01-F008.wav	01
Ses01F_impro02_F008	 Just, you know, kicking myself.	Ses01F-impro02-04-01-F008.wav	04
Ses03F_impro08_F012	 Okay, well, we will send you- We will reimburse you for the amount of minutes that you-	Ses03F-impro08-01-01-F012.wav	01
Ses01F_impro02_F014	 Maybe you can send it to me, like stream it, yeah?	Ses01F-impro02-04-01-F014.wav	04
Ses03F_impro08_F014	 And we will probably send you a calling card.  I'm very sorry.  You're just going to have to be patient, sir.	Ses03F-impro08-01-01-F014.wav	01
Ses01F_impro02_F017	 We've got friends, that's why we moved here, huh?  Because there is a day care down the street.	Ses01F-impro02-04-01-F017.wav	04
Ses01F_impro02_F019	 I'll send you lots of letters.	Ses01F-impro02-04-01-F019.wav	04
Ses01F_impro02_F020	 And I want lots and lots and lots of pictures.	Ses01F-impro02-04-01-F020.wav	04
Ses01F_impro02_M001	 I don't understand.  You've already done so much, I don't know why do you have to go back.	Ses01F-impro02-04-01-M001.wav	04
Ses03F_impro08_F021	 A day?	Ses03F-impro08-01-01-F021.wav	01
Ses05F_impro07_F039	 exciting.	Ses05F-impro07-07-01-F039.wav	07
Ses05F_impro07_M000	 what	Ses05F-impro07-07-01-M000.wav	07
Ses05F_impro07_M006	 Uh! stay over here.  Like travel to school. because you are so close to me	Ses05F-impro07-07-01-M006.wav	07
Ses03F_impro08_F026	 Sir,	Ses03F-impro08-01-01-F026.wav	01
Ses01F_impro03_F017	 Uh, I think seven hundred and fifty dollars.	Ses01F-impro03-01-01-F017.wav	01
Ses03F_impro08_F029	 Okay? Thank you for calling.  Goodbye.	Ses03F-impro08-01-01-F029.wav	01
Ses03F_impro08_M021	 About three million dollars.	Ses03F-impro08-01-01-M021.wav	01
Ses05F_impro07_M015	 You're going to have so much fun.  And there's lo- tons of people, you're going to meet so many people, I'm going to meet so many people too, because we're going to be there together.	Ses05F-impro07-07-01-M015.wav	07
Ses05F_impro07_M016	 Sure, why not.  I don't know why not, I'm not doing anything I have no plans, I could live anywhere I want.	Ses05F-impro07-07-01-M016.wav	07
Ses05F_impro07_M018	 We should try to find, like, a party spot though, like you know where there's going to be a lot of parties, where there are cool people, though.  Do you know any people that might be out there?	Ses05F-impro07-07-01-M018.wav	07
Ses03F_impro08_M008	 What?  It's my phone.  You can't even call me on it. I don't have another phone.	Ses03F-impro08-05-01-M008.wav	05
Ses05F_impro07_M020	 [garbage] I know, I know, I know, we'll figure it out.  Right?  [garbage] it is going to be so much fun.	Ses05F-impro07-07-01-M020.wav	07
Ses03F_impro08_M010	 Oh, my God.	Ses03F-impro08-05-01-M010.wav	05
Ses03F_impro08_M012	 A free calling card?	Ses03F-impro08-05-01-M012.wav	05
Ses05F_impro07_M026	 You're a wild and crazy woman.	Ses05F-impro07-07-01-M026.wav	07
Ses05F_impro07_M029	 living near the U.S.C. campus by myself, not going to school there. just really pathetic and sad.	Ses05F-impro07-07-01-M029.wav	07
Ses03F_script01_1_F004	 Did you talk to him?	Ses03F-script01-01-01-1_F004.wav	01
Ses01F_impro03_F015	 Yeah, so [LAUGHTER] He's calling me now	Ses01F-impro03-07-01-F015.wav	07
Ses01F_impro03_M003	 Who did you marry?	Ses01F-impro03-07-01-M003.wav	07
Ses01F_impro03_M022	 Awesome.	Ses01F-impro03-07-01-M022.wav	07
Ses03F_script01_1_F019	 Why?	Ses03F-script01-01-01-1_F019.wav	01
Ses03F_script01_1_F030	 You're a considerate fella and there's nothing wrong in that.	Ses03F-script01-01-01-1_F030.wav	01
Ses05F_impro07_M033	 That's a good idea.	Ses05F-impro07-07-01-M033.wav	07
Ses05F_impro08_F002	 [LAUGHTER] All right.  I'm sorry, sir that you've been having a hard time.	Ses05F-impro08-01-01-F002.wav	01
Ses03F_script01_1_F050	 I'm going to.	Ses03F-script01-01-01-1_F050.wav	01
Ses03F_script01_1_M000	 He saw it.	Ses03F-script01-01-01-1_M000.wav	01
Ses01F_impro04_M006	 He's like a house manager. Yeah.  It's a good job.	Ses01F-impro04-01-01-M006.wav	01
Ses05F_impro08_F017	 Okay, I do see that on here, and it says that um, it had some trouble clearing for some reason.  And I think that was the problem on our end.  So um-	Ses05F-impro08-01-01-F017.wav	01
Ses03F_script01_1_M016	 You know-you know why I asked Annie here, right?	Ses03F-script01-01-01-1_M016.wav	01
Ses03F_script01_1_M017	 You know.	Ses03F-script01-01-01-1_M017.wav	01
Ses05F_impro08_F019	 Yeah, we- Somebody went in and- and cleared the problem and it looks like you're all paid.	Ses05F-impro08-01-01-F019.wav	01
Ses01F_impro04_M016	 Yeah.  But the piece of paper helps, too.	Ses01F-impro04-01-01-M016.wav	01
Ses03F_script01_1_M029	 I wanted to get this settled first.	Ses03F-script01-01-01-1_M029.wav	01
Ses01F_impro04_M018	 I know.  Okay.  Well, um. Maybe--	Ses01F-impro04-01-01-M018.wav	01
Ses03F_script01_1_M030	 Well then I guess it's over then. But from her letters I think she's forgotten him.	Ses03F-script01-01-01-1_M030.wav	01
Ses01F_impro04_M020	 Okay, yeah.  I would imagine.	Ses01F-impro04-01-01-M020.wav	01
Ses01F_impro04_M021	 Well, sometimes you have to do things that you don't necessarily like to do to have a job. But the job affords you money, you won't have to be taking the bus right now.	Ses01F-impro04-01-01-M021.wav	01
Ses03F_script01_1_M048	 Yes. On this I would.	Ses03F-script01-01-01-1_M048.wav	01
Ses01F_impro04_M032	 I- I-I didn't-- okay.	Ses01F-impro04-01-01-M032.wav	01
Ses01F_impro04_F029	 Who do you think you are?	Ses01F-impro04-05-01-F029.wav	05
Ses03F_script01_2_M006	 You can't read her mind.	Ses03F-script01-01-01-2_M006.wav	01
Ses03F_script01_2_M007	 How do you know why she's waited?	Ses03F-script01-01-01-2_M007.wav	01
Ses05F_script01_1_F017	 Well I got an idea.  But what's the story?	Ses05F-script01-01-01-1_F017.wav	01
Ses03F_script01_3_M001	 You're not sorry you came?	Ses03F-script01-01-01-3_M001.wav	01
Ses01F_impro05_M004	 Okay.	Ses01F-impro05-01-01-M004.wav	01
Ses03F_script01_1_M026	 Every time I reach out for something I have to pull back because other people will suffer. My whole entire life, time and time after time.	Ses03F-script01-04-01-1_M026.wav	04
Ses01F_impro05_M006	 Okay.	Ses01F-impro05-01-01-M006.wav	01
Ses05F_script01_1_F027	 The trouble is you don't see enough women, you never have	Ses05F-script01-01-01-1_F027.wav	01
Ses05F_script01_2_M002	 What did you mean? He lived next door to the girl all of his life, why wouldn't he want to see her again? Don't look at me like that, he didn't tell me any more than he told you.	Ses05F-script01-01-01-2_M002.wav	01
Ses03F_script01_3_F008	 Well, you've been embarrassed ever since I came.	Ses03F-script01-04-01-3_F008.wav	04
Ses03F_script01_3_F025	 No. What is it? Is it your mother?	Ses03F-script01-04-01-3_F025.wav	04
Ses01F_impro05_M016	 No.  I'm just giving you money, the bag is gone.  If it's not here, I'm really sorry there is nothing I can do because...	Ses01F-impro05-01-01-M016.wav	01
Ses03F_script01_3_F032	 And you still feel that way?	Ses03F-script01-04-01-3_F032.wav	04
Ses05F_script01_1_F031	 You marry his girl, and you're pronouncing him dead.  Now what's going to happen to your father, do you know?  I don't.	Ses05F-script01-04-01-1_F031.wav	04
Ses01F_impro05_M026	 You know, the airlines can not be held responsible for every bag of luggage that comes through here.	Ses01F-impro05-01-01-M026.wav	01
Ses05F_script01_1_M004	 No.  I figured it was best to leave him alone.	Ses05F-script01-04-01-1_M004.wav	04
Ses03F_script01_3_M034	 I mean, that's-that's only a little thing, but that's the kind of guys I had. They didn't just die. They killed themselves for each other. And I mean that exactly. A little more selfish and they'd still be here today.	Ses03F-script01-04-01-3_M034.wav	04
Ses01F_impro05_F009	 Am I going to be getting, like, free tickets, free mileage. When can I expect my bag here?	Ses01F-impro05-05-01-F009.wav	05
Ses01F_impro05_F011	 Is this a joke?	Ses01F-impro05-05-01-F011.wav	05
Ses05F_script01_1_M016	 You know why I asked Annie here, don't you?	Ses05F-script01-04-01-1_M016.wav	04
Ses03F_script01_1_M021	 See, then it's not just my business. God, you have	Ses03F-script01-05-01-1_M021.wav	05
Ses01F_impro05_F019	 If you're- if you're- if you're looking for a lawsuit, baby, you've found it.	Ses01F-impro05-05-01-F019.wav	05
Ses03F_script01_1_M027	 To hell with that.	Ses03F-script01-05-01-1_M027.wav	05
Ses03F_script01_1_M046	 Now, Annie's in the middle of all that.	Ses03F-script01-05-01-1_M046.wav	05
Ses05F_script01_3_M028	 for instance, there's this one time.  It had been raining for several days.  And this kid came up to me and gave me his last pair of dry socks. you know, He just put them in my pocket.	Ses05F-script01-04-01-3_M028.wav	04
Ses01F_impro05_F026	 What's your name?	Ses01F-impro05-05-01-F026.wav	05
Ses01F_impro05_F030	 A letter? I'll make a personal phone call.	Ses01F-impro05-05-01-F030.wav	05
Ses01F_impro06_F016	 I brought- I brought Chuck with me. He went to Redlands, yeah, for the day.  We ran through the sprinklers.	Ses01F-impro06-01-01-F016.wav	01
